year,naics,wage
1990,1111,14667.211608586143
1990,1112,12264.323213968279
1990,1113,10557.787016235634
1990,1114,14888.62383101475
1990,1119,13482.87134094262
1990,1121,16292.194285249767
1990,1122,17915.034851847016
1990,1123,16275.317643423628
1990,1124,12252.434252726107
1990,1125,16284.254520440252
1990,1129,15266.50500965717
1990,1131,23228.384537984235
1990,1132,12077.18151071026
1990,1133,20185.34289252277
1990,1141,33199.97600479904
1990,1142,10906.937250427838
1990,1151,11210.772507153395
1990,1152,16362.92479616307
1990,1153,18422.59599896077
1990,2111,47161.729707809194
1990,2121,39767.70901739025
1990,2122,36800.973671089974
1990,2123,29509.01886144816
1990,2131,29871.565174512583
1990,2211,40716.93721178528
1990,2212,38050.20019643267
1990,2213,24519.71446355162
1990,2361,23136.677169672115
1990,2362,30405.768217145305
1990,2371,28137.4393126587
1990,2372,34042.92271854999
1990,2373,30417.766005937057
1990,2379,29972.15264316799
1990,2381,22097.600503938647
1990,2382,28216.696772522617
1990,2383,22274.050560993586
1990,2389,24417.779880240076
1990,3111,26580.118583974254
1990,3112,32730.614448723434
1990,3113,24335.187291918886
1990,3114,21664.656736616555
1990,3115,26325.66955562559
1990,3116,18720.319118754946
1990,3117,18377.115391014973
1990,3118,20864.990226284175
1990,3119,24776.93607281509
1990,3121,29861.423540940767
1990,3122,37990.79649325905
1990,3131,18320.630991099773
1990,3132,20425.947438594776
1990,3133,22671.262785690957
1990,3141,17575.76058924057
1990,3149,17229.789007702442
1990,3151,15536.363274758689
1990,3152,14181.232274943874
1990,3159,15872.281766559061
1990,3161,25020.26957911561
1990,3162,15752.385862507706
1990,3169,16882.8843925942
1990,3211,20262.33662679133
1990,3212,22340.978944642156
1990,3219,19921.83279473289
1990,3221,39600.369872430434
1990,3222,27865.67135394337
1990,3231,25536.412087826662
1990,3241,41261.84121698229
1990,3251,42654.723797769366
1990,3252,37281.171039925306
1990,3253,34496.03414397829
1990,3254,41404.862715592615
1990,3255,32275.987788723236
1990,3256,30016.177792759387
1990,3259,36422.524592106274
1990,3261,23109.507461545545
1990,3262,29646.280056639673
1990,3271,23919.30160958904
1990,3272,27754.19850477439
1990,3273,26774.82304458673
1990,3274,30218.290401745136
1990,3279,28247.87458023069
1990,3311,39090.37530409849
1990,3312,31395.521088910686
1990,3313,34822.959164247746
1990,3314,32286.26512081358
1990,3315,27204.178921169547
1990,3321,28309.801721928063
1990,3322,27237.09642975572
1990,3323,25044.343113419895
1990,3324,30729.95001629726
1990,3325,24183.01487583572
1990,3326,23764.131468393913
1990,3327,26574.6536613317
1990,3328,23569.939354161197
1990,3329,28502.104915273227
1990,3331,31253.020571178466
1990,3332,31578.83882571362
1990,3333,32487.49555913001
1990,3334,25872.941609772486
1990,3335,32084.603873380525
1990,3336,34272.810481949105
1990,3339,30104.199419131815
1990,3341,42766.03497246795
1990,3342,35218.500437901006
1990,3343,25080.69561140285
1990,3344,30560.78247971303
1990,3345,35874.58735429298
1990,3346,33219.75759918896
1990,3351,24354.040847344924
1990,3352,24679.40271803162
1990,3353,27322.833307415236
1990,3359,27010.646288544147
1990,3361,43118.45484931885
1990,3362,24632.74708320001
1990,3363,31923.23095485025
1990,3364,38553.768166533264
1990,3365,28105.892289334224
1990,3366,26737.214113873295
1990,3369,30659.49320186819
1990,3371,18292.677723947123
1990,3372,23748.232474900327
1990,3379,20413.167235854624
1990,3391,25736.303514127965
1990,3399,21760.817878464633
1990,4231,26350.46335729797
1990,4232,29151.271903357276
1990,4233,28501.389943739065
1990,4234,38520.641747316964
1990,4235,33650.0088837356
1990,4236,34428.47959957042
1990,4237,29323.427252612353
1990,4238,30308.742234567882
1990,4239,26479.2322957786
1990,4241,30014.80014620633
1990,4242,35885.89087537816
1990,4243,32325.8861296139
1990,4244,26441.563270884726
1990,4245,18169.880513138065
1990,4246,37034.5791166549
1990,4247,27864.338591696927
