year,sic,wage
1975,110,8082.104992657856
1975,130,10464.321497491315
1975,160,8455.351534977353
1975,170,6991.610281231745
1975,180,7481.104289778945
1975,190,8268.424485472155
1975,210,8840.43246839654
1975,240,7983.383022774327
1975,250,6676.731914157148
1975,270,6783.627034207904
1975,290,7409.606741573034
1975,710,8614.126249342451
1975,720,7476.1831131758645
1975,740,7311.013413724027
1975,750,5897.11001665477
1975,760,7540.604597701149
1975,780,7203.0875829364795
1975,810,9886.343737494997
1975,820,6057.997533908755
1975,840,7146.9941860465115
1975,850,7010.572180603361
1975,910,12835.956513039418
1975,920,6546.177192982456
1975,970,6946.312992125984
1975,1010,15353.776301404423
1975,1020,14283.39990301669
1975,1030,12065.81668963789
1975,1040,12441.740758072063
1975,1050,13418.832599118943
1975,1060,13896.935075710433
1975,1080,13881.546329453895
1975,1090,13230.550264550264
1975,1110,13131.373227453205
1975,1210,15639.636357175683
1975,1310,16584.71322334335
1975,1320,14916.307350187266
1975,1380,13042.007634507285
1975,1410,9214.336095001381
1975,1420,11770.246973019353
1975,1440,11806.225939298207
1975,1450,10837.530920973013
1975,1470,13523.984948799434
1975,1480,13475.137970353479
1975,1490,10413.411188004613
1975,1520,10461.215251910595
1975,1530,10476.605897495905
1975,1540,13637.433168969106
1975,1610,13210.324168046165
1975,1620,15231.611574963725
1975,1710,13359.309131095895
1975,1720,10375.07360929013
1975,1730,14243.618838657325
1975,1740,10979.291887270094
1975,1750,9899.773520084567
1975,1760,10623.51331945313
1975,1770,10416.655312134426
1975,1780,9902.962766917293
1975,1790,12442.218088558226
1975,2011,12236.61589909512
1975,2013,11971.865629226631
1975,2016,6518.77887544348
1975,2017,6606.148514142499
1975,2021,9555.165164433618
1975,2022,10009.551191310442
1975,2023,11418.372942186159
1975,2024,10062.065994320963
1975,2026,11177.326797232321
1975,2032,10759.476887348865
1975,2033,9235.444378744876
1975,2034,9577.164594166856
1975,2035,9352.653293116271
1975,2037,8183.287687046677
1975,2038,8530.677602549436
1975,2041,12986.707993274002
1975,2043,14800.448940381928
1975,2044,11508.649807115302
1975,2045,11777.091650230112
1975,2046,15457.88773528533
1975,2047,11502.752210121716
1975,2048,10790.71538907825
1975,2051,11215.567159109318
1975,2052,10576.65171279089
1975,2061,12625.960048559762
1975,2062,14484.117535184481
1975,2063,10334.184341819113
1975,2065,8834.474430955994
1975,2066,10865.50054064681
1975,2067,10511.876798788186
1975,2074,8842.097490625902
1975,2075,11909.794901506373
1975,2076,12126.086132644272
1975,2077,12765.094185367481
1975,2079,13442.554793980935
1975,2082,15819.465917588634
1975,2083,14522.511202830188
1975,2084,10508.132962834317
1975,2085,13326.603628536286
1975,2086,10384.601743597223
1975,2087,14069.886235955057
1975,2091,8326.181664761283
1975,2092,6424.123746701847
1975,2095,13021.39486881314
1975,2097,8358.115062454079
1975,2098,10097.181601704475
1975,2099,10374.097668815792
